repo,pr_number,titulo,descricao,categoria
helix,1678,Close zkClients created by TaskStateModelFactory,"Issues

 My PR addresses the following Helix issues and references them in the PR description:

Fixes #1677
Description

 Here are some details about my PR, including screenshots of any UI changes:

TaskStateModelFactory creates either a shared ZkClient or a FederatedZkClient to read the user-customized number for the configurable thread pool. Neither of the ZkClients are closed in the end, resulting in thread leakage.
Tests

The following is the result of the ""mvn test"" command on the appropriate module:

[INFO] Tests run: 1264, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 5,046.067 s - in TestSuite
[INFO] 
[INFO] Results:
[INFO] 
[INFO] Tests run: 1264, Failures: 0, Errors: 0, Skipped: 0
[INFO] 
[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  01:24 h
[INFO] Finished at: 2021-03-26T12:09:01-07:00
[INFO] ------------------------------------------------------------------------

Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",BUG
accumulo,2590,Change location where Thread.start() is called to resolve ErrorProne warning,Closes #2581,BUG
accumulo,1701,Add method to get properties with a prefix,Closes #1627,REQ
helix,1625,Drop current state of the task on disable instances,"Issues

 My PR addresses the following Helix issues and references them in the PR description:
Fixes #1624

Description

 Here are some details about my PR, including screenshots of any UI changes:
In this PR, if an instance is not enabled, the controller drops the current state of the task on the disabled node first before assigning the task to a new instance. Otherwise, once the instance becomes enable controller will see two running tasks.

Tests


 The following tests are written for this issue:
TestTaskCurrentStateDrop.testDropCurrentStateDisableInstance


 The following is the result of the ""mvn test"" command on the appropriate module:
Helix-core:


[INFO] Results:
[INFO] 
[ERROR] Failures: 
[ERROR] org.apache.helix.integration.rebalancer.CrushRebalancers.TestCrushAutoRebalanceNonRack.testLackEnoughInstances(org.apache.helix.integration.rebalancer.CrushRebalancers.TestCrushAutoRebalanceNonRack)
[ERROR]   Run 1: TestCrushAutoRebalanceNonRack.testLackEnoughInstances:281 » Helix Failed to dr...
[ERROR]   Run 2: TestCrushAutoRebalanceNonRack.testLackEnoughInstances:273 » Helix Cluster CLUS...
[INFO] 
[INFO] 
[ERROR] Tests run: 1258, Failures: 1, Errors: 0, Skipped: 0
[INFO] 
[INFO] ------------------------------------------------------------------------
[INFO] BUILD FAILURE
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  01:30 h
[INFO] Finished at: 2021-02-01T11:11:56-08:00
[INFO] ------------------------------------------------------------------------

The failed test passed when I run it individually.
mvn test -Dtest=""TestCrushAutoRebalanceNonRack""
[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 28.689 s - in org.apache.helix.integration.rebalancer.CrushRebalancers.TestCrushAutoRebalanceNonRack
[INFO] 
[INFO] Results:
[INFO] 
[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0
[INFO] 
[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  34.777 s
[INFO] Finished at: 2021-02-01T11:28:43-08:00
[INFO] ------------------------------------------------------------------------

Helix-rest:
[INFO] Tests run: 171, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 102.54 s - in TestSuite
[INFO] 
[INFO] Results:
[INFO] 
[INFO] Tests run: 171, Failures: 0, Errors: 0, Skipped: 0
[INFO] 
[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  01:48 min
[INFO] Finished at: 2021-02-01T11:30:59-08:00
[INFO] ------------------------------------------------------------------------

Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",BUG
helix,2462,Enabling INFO level for helix logs for TestClusterStatusMonitorLifecycle integration test.,"Issues

 My PR addresses the following Helix issues and references them in the PR description:
N/A.

NOTE: Since we aren't fixing the actual issue I am marking this as N/A
Description

 Here are some details about my PR, including screenshots of any UI changes:

We need more context to debug the failing TestClusterStatusMonitorLifecyle integration test as we aren't able to reproduce the issue locally. So, we enable INFO level logging for org.apache.helix package.
NOTE: This change will increase the log size for the tests from ~15 MB to ~50MB. We will revert the logging level back to ERROR once we fix the issue.
Tests

 The following tests are written for this issue:
N/A

Changes that Break Backward Compatibility (Optional)
N/A
Documentation (Optional)
N/A
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REF
accumulo,4287,Accumulo 4234,"Added a counter in TableMgmtStats to help keep track of tablets that have errors while running a full scan.
Fixes issue#4234",BUG
accumulo,1614,Create max tablets property in new bulk import,"Creates the master.bulk.max.tablets property to allow restricting the
number of tablets in a single bulk import",REQ
helix,2102,Reduce helix controller log and minor code improve,"Issues

 My PR addresses the following Helix issues and references them in the PR description:

Fix #2080
Description

 Here are some details about my PR, including screenshots of any UI changes:
We are seeing issue in certain product where controller is generating way too many logs that fill up disk space.
In this PR, we reduce a few logger level from INFO to DEBUG and update the logic to avoid duplicated messages in WorkflowDispatcher (Step 5: handle workflow that should STOP)

Tests

 The following tests are written for this issue:

[info] ./zookeeper-api/target/surefire-reports/TestSuite.txt: Tests run: 54, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 123.232 s - in TestSuite
[info] ./recipes/rsync-replicated-file-system/target/surefire-reports/TestSuite.txt: Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.585 s - in TestSuite
[info] ./recipes/task-execution/target/surefire-reports/TestSuite.txt: Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.582 s - in TestSuite
[info] ./recipes/distributed-lock-manager/target/surefire-reports/TestSuite.txt: Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.705 s - in TestSuite
[info] ./recipes/rabbitmq-consumer-group/target/surefire-reports/TestSuite.txt: Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.789 s - in TestSuite
[info] ./recipes/service-discovery/target/surefire-reports/TestSuite.txt: Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.415 s - in TestSuite
[info] ./metadata-store-directory-common/target/surefire-reports/TestSuite.txt: Tests run: 31, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.745 s - in TestSuite
[info] ./helix-rest/target/surefire-reports/TestSuite.txt: Tests run: 205, Failures: 1, Errors: 0, Skipped: 35, Time elapsed: 138.881 s <<< FAILURE! - in TestSuite
Error:  Test failed: testGetClusters(org.apache.helix.rest.server.TestClusterAccessor)  Time elapsed: 0.513 s  <<< FAILURE!
[info] ./metrics-common/target/surefire-reports/TestSuite.txt: Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.335 s - in TestSuite
[info] ./helix-view-aggregator/target/surefire-reports/TestSuite.txt: Tests run: 13, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 58.735 s - in TestSuite
[info] ./helix-common/target/surefire-reports/TestSuite.txt: Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.272 s - in TestSuite
[info] ./helix-core/target/surefire-reports/TestSuite.txt: Tests run: 1314, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 5,903.158 s - in TestSuite
[info] ./helix-lock/target/surefire-reports/TestSuite.txt: Tests run: 11, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 53.896 s - in TestSuite
Known issue with TestClusterAccessor, verified passed locally.
Changes that Break Backward Compatibility (Optional)

My PR contains changes that break backward compatibility or previous assumptions for certain methods or API. They include:

(Consider including all behavior changes for public methods or API. Also include these changes in merge description so that other developers are aware of these changes. This allows them to make relevant code changes in feature branches accounting for the new method/API behavior.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",BUG
accumulo,2661,Add base objects for Tablet and TabletServer for the upcoming ScanServer feature,"This commit introduces TabletBase, a base class for Tablets, and TabletHostingServer,
an interface for server components that host Tablets. These changes will be used by
the ScanServer feature that is in the works.
Related to #2411",REQ
helix,1627,Fix ZkAddress null case for TaskStateModelFactory,"Issues

 My PR addresses the following Helix issues and references them in the PR description:

Fix #1626
Description

 Here are some details about my PR, including screenshots of any UI changes:

If zkAddress is null for the HelixManager passed to TaskStateModelFactory and multizk is not enabled, a NullPointerException will be raised. This PR fixes that by adding a null check.
When #1183 was introduced and null checks were added, this section of code was in a feature branch, and was therefore not covered by the PR 1183.
Tests

 The following tests are written for this issue:

(List the names of added unit/integration tests)

The following is the result of the ""mvn test"" command on the appropriate module:

(If CI test fails due to known issue, please specify the issue and test PR locally. Then copy & paste the result of ""mvn test"" to here.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",BUG
opennlp,473,OPENNLP-1428 - Enhance DownloadUtil to avoid the use of hard-coded model urls,"Thank you for contributing to Apache OpenNLP.
In order to streamline the review of the contribution we ask you
to ensure the following steps have been taken:
For all changes:


 Is there a JIRA ticket associated with this PR? Is it referenced
in the commit message?


 Does your PR title start with OPENNLP-XXXX where XXXX is the JIRA number you are trying to resolve? Pay particular attention to the hyphen ""-"" character.


 Has your PR been rebased against the latest commit within the target branch (typically main)?


 Is your initial contribution a single, squashed commit?


For code changes:

 Have you ensured that the full suite of tests is executed via mvn clean install at the root opennlp folder?
 Have you written or updated unit tests to verify your changes?
 If adding new dependencies to the code, are these dependencies licensed in a way that is compatible for inclusion under ASF 2.0?
 If applicable, have you updated the LICENSE file, including the main LICENSE file in opennlp folder?
 If applicable, have you updated the NOTICE file, including the main NOTICE file found in opennlp folder?

For documentation related changes:

 Have you ensured that format looks appropriate for the output in which it is rendered?

Note:
Please ensure that once the PR is submitted, you check GitHub Actions for build issues and submit an update to your PR as soon as possible.",REF
helix,2149,implement util for cloud event,"Issues

 My PR addresses the following Helix issues and references them in the PR description:

#2133
Description

 Here are some details about my PR, including screenshots of any UI changes:

This change add implementation for HelixCloudEventUtil
Tests

 The following tests are written for this issue:

TestDefaultCloudEventCallbackImpl.java

The following is the result of the ""mvn test"" command on the appropriate module:

(If CI test fails due to known issue, please specify the issue and test PR locally. Then copy & paste the result of ""mvn test"" to here.)
Changes that Break Backward Compatibility (Optional)

My PR contains changes that break backward compatibility or previous assumptions for certain methods or API. They include:

(Consider including all behavior changes for public methods or API. Also include these changes in merge description so that other developers are aware of these changes. This allows them to make relevant code changes in feature branches accounting for the new method/API behavior.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REQ
accumulo,4150,Fix ConcurrentModificationException in QueueMetrics,"The metricsWithoutQueues variable is a SetView
which is sensitive to changes in the underlying
sets. The loop was modifying one of the underlying objects. To prevent the CME from being raised I
copied the objects into a new set.
Closes #4144",BUG
commons-io,325,IOCase.isCaseSensitive(IOCase) result is backward,"When the argument is IOCase.SENSITIVE, I think the static method isCaseSensitive should return true.
I did the following test with the code.
public void testIsCaseSensitive() {
  // return true. I think it is right.
  boolean b1 = IOCase.SENSITIVE.isCaseSensitive();
  System.out.println(b1);

  // but invoke static method and return false.
  boolean b2 = IOCase.isCaseSensitive(IOCase.SENSITIVE);
  System.out.println(b2);
}",BUG
accumulo,2143,Fix external compaction properties names and keys,"Modified the external compaction properties to be in line with other properties
in the codebase. Specifically, I changed

the enum names starting with COORDINATOR to COMPACTION_COORDINATOR
the keys starting with coordinator to compaction_coordinator
properties having to with compaction of files to include the term
compaction in the key

Closes #2142",REF
helix,2507,"Simplify thread naming in TaskStateModelFactory""","Issues

 My PR addresses the following Helix issues and references them in the PR description:
Fixes #325

Description

 Here are some details about my PR, including screenshots of any UI changes:
In TaskStateModelFactory class, we want to name our thread with a sequence number to uniquely identify threads. The mechanics can be simplified by using the BasicThreadPoolFactory which has way for explicitly naming the thread.

Tests

 The following tests are written for this issue:

(List the names of added unit/integration tests)

The following is the result of the ""mvn test"" command on the appropriate module:
mvn -q test run is in progress, will update it as soon as I get the results.

(If CI test fails due to known issue, please specify the issue and test PR locally. Then copy & paste the result of ""mvn test"" to here.)
Changes that Break Backward Compatibility (Optional)

My PR contains changes that break backward compatibility or previous assumptions for certain methods or API. They include:

(Consider including all behavior changes for public methods or API. Also include these changes in merge description so that other developers are aware of these changes. This allows them to make relevant code changes in feature branches accounting for the new method/API behavior.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REF
accumulo,3927,Add json property type with simple validation,"Adds a JSON PropertyType and minimal validation that verifies the property value can be parsed into a JSON object.
This was inspired by issue #3909, but does not directly address it.

Some current properties defer validation until use and this PR does not address that. (That could be done in a follow-on PR)
Some configurations require multiple, independent properties be set for a valid configuration, This PR does not  attempt to perform that validation - that responsibility is deferred to the implementations that use those properties.

This implementation was to provide a minimal check, that follow on PRs could extend / leverage to introduce additional property validation.",REQ
accumulo,1891,Add TabletBalancer to SPI package,"This change deprecates existing balancers and introduces copies of each
under the SPI package. The main balancer interface, TabletBalancer, has
been converted from an abstract class to an interface and its method
signatures use only public API types, and some other data types in SPI
sub-packages. The new types used expose the same functionality as the
previous types, and the implementations generally simply wrap the old
thrift objects and delegate, but will allow for easier evolution of the
API in the future.

Deprecated TabletId.getTableId(), which created a new Text object
every time, in favor of new TabletId.getTable() which returns a
TableId. All existing usages of the getTableId() method would
immediately call toString() on the returned Text object, or construct
a TableId from the Text object. Therefore, the new method avoids
object creation and usages read cleaner in many cases.
Add functionality to PluginEnvironment.Configuration for loadClass
(vs just instantiating a class) and also expose derived property
calculation (AccumuloConfiguration.Deriver) as a Supplier.
Deprecated all balancers in org.apache.accumulo.server.master.balancer
except for ChaoticLoadBalancer, which was moved to accumulo-test since
its purpose is only for testing.
Introduce types in org.apache.accumulo.core.spi.balancer.data for
wrapping thrift types needed by the balancers.
Add a BalancerEnvironment to the SPI to support balancer-specific
system operations (table online status check, listing online tablets,
etc) in an API-stable manner.
Convert TabletBalancer from abstract class to interface with init,
getAssignments, and balance methods. The methods take parameters
objects which will make it easier in the future if the balancer API
needs to evolve.
Implement existing balancers (DefaultLoadBalancer, TableLoadBalancer,
GroupBalancer, RegexGroupBalancer, HostRegexTableLoadBalancer) in the
SPI package by copying existing code and converting usages of thrift
types to new stable types, and adjusting method signatures such that
the new TabletBalancer API is implemented.
Changed default balancer and table load balancer properties to use the
new SPI-packaged versions.
Wired support in Master to call either the deprecated or new balancer
depending on which type is specified by the accumulo configuration.

fixes #1880",REF
helix,1580,Update the internal fields of the Data Providr when overriding the data through set methods.,"Issues

 My PR addresses the following Helix issues and references them in the PR description:

#1578
Description

 Here are some details about my PR, including screenshots of any UI changes:

It was observed that the set methods in the Helix Data Provider classes, which are used but the Helix tools or tests, are not updating the derived fields.
This makes the override incomplete and it causes some potential issues when the tools are used.
This PR ensures that the set methods are modifying important derived fields.
Tests

 The following tests are written for this issue:

The main changed logic has been covered by the existing tests.
It is hard, and maybe not a good idea to cover all the possible util tool usages.

 The following is the result of the ""mvn test"" command on the appropriate module:

[ERROR] Failures:
[ERROR]   TestDisableCustomCodeRunner.test:236 expected: but was:
[INFO]
[ERROR] Tests run: 1252, Failures: 1, Errors: 0, Skipped: 0
[INFO]
[INFO] ------------------------------------------------------------------------
[INFO] BUILD FAILURE
[INFO] ------------------------------------------------------------------------
[INFO] Total time: 01:32 h
[INFO] Finished at: 2020-12-08T16:37:00-08:00
[INFO] ------------------------------------------------------------------------
Rerun the failed test:
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 12.117 s - in org.apache.helix.integration.TestDisableCustomCodeRunner
[INFO]
[INFO] Results:
[INFO]
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0
[INFO]
[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time: 18.469 s
[INFO] Finished at: 2020-12-08T17:36:03-08:00
[INFO] ------------------------------------------------------------------------
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REF
accumulo,4296,Added unit test for CompactionJobPriorityQueue,Fixes #3466,REF
helix,2055,support common input for operational input on Maintenance Management API ,"Issues

 My PR addresses the following Helix issues and references them in the PR description:

#2034
Description

 Here are some details about my PR, including screenshots of any UI changes:

This change adds a common input field for operational check input on Maintenance Management API.
Tests

 The following tests are written for this issue:

testTakeInstanceOperationCheckFailureCommonInput

The following is the result of the ""mvn test"" command on the appropriate module:

(If CI test fails due to known issue, please specify the issue and test PR locally. Then copy & paste the result of ""mvn test"" to here.)
Changes that Break Backward Compatibility (Optional)

My PR contains changes that break backward compatibility or previous assumptions for certain methods or API. They include:

(Consider including all behavior changes for public methods or API. Also include these changes in merge description so that other developers are aware of these changes. This allows them to make relevant code changes in feature branches accounting for the new method/API behavior.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REQ
accumulo,1546,Replace try/finally with try-with-resources.,Implement the try-with-resources construct available in Java 7+ where applicable.,REF
struts,657,WW-5279 Improve readability of XmlConfigurationProvider class,WW-5279,REF
httpcomponents-client,235,HTTPCLIENT-2097: Fix PoolingAsyncClientConnectionManager boxed primitive reference equality,https://issues.apache.org/jira/browse/HTTPCLIENT-2097,BUG
accumulo,1774,Refactor Tablet state classes,"Move TabletState, TabletLocationState, TServerInstance and
SuspendingTServer from master to core.metadata package to allow
packages outside of master to use them
Make ample TabletMetadata.Location extend TServerInstance to
eliminate a temporary interface and some redundant object creation
Rewrite GroupBalancer getLocationProvider() method to eliminate
Location inner class
Modify GroupBalancerTest to override new method",REF
accumulo,1970,Deprecate the shell script command,"Mark the shell's ScriptCommand as deprecated and log a warning when used.
This fixes #1949",REF
struts,659,WW-5284 Refactor ActionValidatorManager implementations,"WW-5284
Following on from #656 I realised the implementation could be simplified further. I've merged AbstractActionValidationManager into DefaultActionValidationManager and made AnnotationActionValidationManager an extension of that. Other than that I've only made a handful of functional changes which I'll comment below.",REF
httpcomponents-client,484,HTTPCLIENT-2277:  deprecation of obsolete config parameters and removal of oudated or meaningless tests,@arturobernalg Please kindly have a look. No functional changes. Mostly deprecation and removal of outdated / unused code and some javadoc updates. Also removed verbatim RFC 2616 quotes from the cache test cases.,REF
struts,741,WW-5341 Ensure exclusion list applies to objects from all ClassLoaders,"WW-5341
In applications where there are multiple classloaders, it may be possible for SecurityMemberAccess to obtain a false negative if the classloader used to load the target object was different to the one used to load the exclusion list.
To rectify this, we use String comparison of the class name instead. We still use the default classloader to validate the exclusion list on application start. A future enhancement might be to make the validating classloader configurable.",BUG
